place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change since 2019,Change since 2010,2022 rate per 100K
Yucaipa,464,535,559,534,562,838,730,590,473,365,346,360,447,22.5,-3.7,820.2
Adelanto,273,363,380,372,257,254,218,290,336,209,138,126,193,-7.7,-29.3,507.9
Montclair,1208,1170,1092,962,969,1105,978,870,990,868,757,720,875,0.8,-27.6,2308.7
Needles,125,90,90,88,63,82,77,104,99,97,71,69,60,-38.1,-52,1224.5
Murrieta,852,1031,1177,1149,1009,1173,1115,1143,952,1080,774,947,961,-11,12.8,866.5
Mission Viejo,917,983,936,802,679,859,768,733,702,689,659,739,882,28,-3.8,941.3
Santa Ana,4189,4222,4779,4163,3685,4494,3913,4108,3931,4611,4078,3946,1677,-63.6,-60,540.6
Apple Valley,1107,1052,977,775,866,1187,1064,986,917,660,502,497,717,8.6,-35.2,945.9
Ontario,3170,3057,3019,2586,2987,3206,2764,2842,2858,2652,2296,1932,2254,-15,-28.9,1285.8
Tustin,1186,1167,1282,1147,1047,1344,1412,1484,1506,1694,1586,983,1444,-14.8,21.8,1798.3
Aliso Viejo,324,349,300,224,211,276,323,299,348,351,285,270,257,-26.8,-20.7,492.3
Lake Forest,736,763,798,620,493,684,533,504,510,503,626,624,652,29.6,-11.4,759
Seal Beach,374,367,387,336,372,478,425,503,493,458,459,407,427,-6.8,14.2,1694.4
Yucca Valley,306,355,304,234,287,381,229,244,204,157,168,192,139,-11.5,-54.6,640.6
Simi Valley,1687,1278,1394,1233,1176,1146,1127,1355,1118,889,1033,873,828,-6.9,-50.9,655.1
Big Bear,190,171,170,126,141,157,127,112,109,92,66,49,58,-37,-69.5,456.7
Lake Elsinore,959,908,1141,858,1031,1352,1224,1507,1329,1409,1128,1145,1214,-13.8,26.6,1726.9
Indio,1336,1453,1466,1335,1197,1187,1165,1483,1362,1218,739,846,965,-20.8,-27.8,1083.1
Upland,1509,1349,1329,1246,1226,1489,1285,1194,1297,1206,1118,993,1050,-12.9,-30.4,1329.1
Riverside Co. Sheriff's Department,5776,4884,4354,4192,3705,4321,4630,4579,4578,4320,3969,3879,4483,3.8,-22.4,1146
Orange Co. Sheriff's Department,910,935,954,877,789,879,765,751,747,642,682,644,780,21.5,-14.3,586.1
San Bernardino Co. Sheriff's Department,2574,2879,2919,2560,2311,2583,2513,2556,2329,1875,1421,1806,1798,-4.1,-30.1,614
Ventura Co. Sheriff's Department,894,795,794,648,563,530,467,531,473,363,517,545,486,33.9,-45.6,517.9
LAPD 77th Street^Division of Los Angeles PD^,2380,2587,2790,2700,2564,2586,2909,2737,2877,2638,1970,1739,1957,-25.8,-17.8,1046
LAPD Central^Division of Los Angeles PD^,2208,2273,2727,2601,2793,3491,3737,4120,4822,5114,3349,4312,6858,34.1,210.6,8414.7
LAPD Devonshire^Division of Los Angeles PD^,3508,2968,2966,2859,2828,3364,3554,3595,3078,3001,2571,2561,2853,-4.9,-18.7,1241
LAPD Foothill^Division of Los Angeles PD^,2187,1913,1901,1827,1672,1960,1953,2025,2025,1857,1582,1685,1828,-1.6,-16.4,932.7
LAPD Harbor^Division of Los Angeles PD^,2306,2558,2416,2241,2151,2462,2267,2287,2143,2024,1955,1831,1783,-11.9,-22.7,986.2
LAPD Hollenbeck^Division of Los Angeles PD^,1496,1343,1539,1484,1472,1823,2111,1946,2013,1852,1565,1582,1518,-18,1.5,894.5
LAPD Hollywood^Division of Los Angeles PD^,2960,3063,3167,2870,2764,3259,3443,3876,4040,3988,2915,3670,4099,2.8,38.5,3143.4
LAPD Mission^Division of Los Angeles PD^,2225,2436,2614,2789,2591,2703,2668,2550,2499,2229,1934,1878,2217,-0.5,-0.4,888.9
LAPD Newton^Division of Los Angeles PD^,1898,1915,2049,2245,2085,2217,2394,2667,2575,2550,1836,1754,2254,-11.6,18.8,1508.7
LAPD North Hollywood^Division of Los Angeles PD^,3712,3416,3737,3970,3589,3946,4079,4089,4121,3753,3092,3489,3216,-14.3,-13.4,1527.1
LAPD Northeast^Division of Los Angeles PD^,2965,2720,2812,2786,2934,3016,3290,3245,3262,3241,2555,2817,3151,-2.8,6.3,1448.1
LAPD Olympic^Division of Los Angeles PD^,1960,1743,2134,2085,2246,2764,3089,3306,3340,3160,2496,2714,3054,-3.4,55.8,1662.5
LAPD Pacific^Division of Los Angeles PD^,4093,3536,3411,3515,3675,4255,4246,4360,4666,4763,3825,4436,4666,-2,14,2145.3
LAPD Rampart^Division of Los Angeles PD^,1856,1715,2005,1898,2168,2320,2352,2500,2646,2626,2130,2261,2489,-5.2,34.1,1559.5
LAPD Southeast^Division of Los Angeles PD^,1652,1605,1770,1724,1814,1989,1983,2102,2351,2273,1816,1565,1516,-33.3,-8.2,1006.6
LAPD Southwest^Division of Los Angeles PD^,3335,3072,3446,3535,3474,3921,4068,4092,4440,4066,2503,2493,3010,-26,-9.7,1560.4
LAPD Topanga^Division of Los Angeles PD^,3264,3095,3087,3173,2924,3211,3699,3607,3503,3488,2408,2597,2692,-22.8,-17.5,1299.9
LAPD Van Nuys^Division of Los Angeles PD^,3100,2911,3044,3208,2964,3086,3382,3439,3431,3269,2649,2510,2644,-19.1,-14.7,1407.1
LAPD West Los Angeles^Division of Los Angeles PD^,3063,3275,3220,3070,2926,3403,3438,3252,3551,3355,3308,3543,3782,12.7,23.5,1560.2
LAPD West Valley^Division of Los Angeles PD^,2484,2457,2596,2339,2117,2416,2824,2645,2757,2431,2185,2137,2662,9.5,7.2,1321.7
LAPD Wilshire^Division of Los Angeles PD^,2483,2572,2501,2590,2475,2790,2930,3314,3783,4073,2771,2978,3940,-3.3,58.7,2571.8
Unincorporated Altadena^Area policed by LASD^,445,339,354,402,295,266,349,375,292,373,283,310,330,-11.5,-25.8,748.3
Avalon^Area policed by LASD^,38,29,41,57,55,40,34,35,27,28,37,30,32,14.3,-15.8,941.2
Unincorporated Avalon^Area policed by LASD^,5,4,4,3,1,9,2,7,4,0,1,2,0,NA,-100,NA
Carson^Area policed by LASD^,1421,1367,1564,1254,1270,1285,1466,1261,1181,1277,1262,1365,1311,2.7,-7.7,1372.8
Unincorporated Carson^Area policed by LASD^,394,477,479,438,401,464,553,421,407,405,411,426,503,24.2,27.7,1919.8
Lynwood^Area policed by LASD^,443,496,504,653,597,485,704,688,656,723,740,677,713,-1.4,60.9,1057.9
Unincorporated Century^Area policed by LASD^,825,906,984,1031,973,1057,1167,1267,1062,1108,1010,875,1235,11.5,49.7,1048.4
Cerritos^Area policed by LASD^,1168,1222,1254,1213,1056,1329,1582,1511,1259,1198,970,1235,1301,8.6,11.4,2623
Compton^Area policed by LASD^,1224,1204,1008,1162,1370,1151,1370,1402,1349,1285,1189,795,1158,-9.9,-5.4,1210
Unincorporated Compton^Area policed by LASD^,223,213,209,236,283,192,205,218,241,211,214,145,212,0.5,-4.9,933.9
La Canada Flintridge^Area policed by LASD^,240,243,182,196,177,172,196,162,231,198,170,190,245,23.7,2.1,1189.3
Unincorporated Crescenta Valley^Area policed by LASD^,183,166,146,174,131,158,181,118,139,151,151,238,236,56.3,29,1082.6
Commerce^Area policed by LASD^,511,509,614,515,623,800,744,698,646,624,555,685,894,43.3,75,7039.4
Cudahy^Area policed by LASD^,105,196,219,174,208,179,127,93,88,111,130,113,117,5.4,11.4,515.4
Maywood^Area policed by LASD^,89,136,142,132,111,175,195,157,107,143,181,179,171,19.6,92.1,681.3
Unincorporated East Los Angeles^Area policed by LASD^,793,833,877,809,873,918,1061,956,891,823,888,872,920,11.8,16,777
Industry^Area policed by LASD^,852,789,786,707,725,714,784,629,681,899,517,665,903,0.4,6,NA
La Habra Heights^Area policed by LASD^,42,39,18,21,30,32,65,60,43,45,30,21,30,-33.3,-28.6,526.3
La Puente^Area policed by LASD^,306,295,254,219,221,266,261,190,258,248,183,248,232,-6.5,-24.2,610.5
Unincorporated Industry^Area policed by LASD^,953,681,826,707,729,754,893,810,846,885,879,882,856,-3.3,-10.2,636.4
Artesia^Area policed by LASD^,141,186,167,177,161,259,350,236,180,161,165,194,206,28,46.1,1256.1
Bellflower^Area policed by LASD^,906,907,888,969,830,819,1051,1065,963,860,1033,822,915,6.4,1,1155.3
Hawaiian Gardens^Area policed by LASD^,131,120,102,107,90,191,170,161,143,101,92,134,151,49.5,15.3,1070.9
Lakewood^Area policed by LASD^,1251,1300,1384,1363,1194,1519,1877,1725,1347,1354,1202,1045,1181,-12.8,-5.6,1431.5
Paramount^Area policed by LASD^,770,888,811,866,797,956,1126,892,871,775,745,662,731,-5.7,-5.1,1366.4
Unincorporated Lakewood^Area policed by LASD^,5,12,12,13,8,10,14,14,12,14,21,9,8,-42.9,60,400
Lancaster^Area policed by LASD^,1943,1848,2065,2042,2068,1995,1820,1733,2074,1916,1307,1173,1322,-31,-32,776.7
Unincorporated Lancaster^Area policed by LASD^,2,207,237,194,217,171,188,180,246,207,162,166,221,6.8,10950,610.5
Lomita^Area policed by LASD^,196,207,266,232,224,278,227,241,201,161,209,218,205,27.3,4.6,980.9
Rancho Palos Verdes^Area policed by LASD^,244,343,312,373,263,306,270,260,239,199,238,311,284,42.7,16.4,671.4
Rolling Hills^Area policed by LASD^,3,7,17,6,9,5,8,5,4,2,3,4,4,100,33.3,235.3
Rolling Hills Estates^Area policed by LASD^,101,115,90,82,84,56,90,103,67,82,86,59,85,3.7,-15.8,1036.6
Unincorporated Lomita^Area policed by LASD^,52,58,48,44,21,41,35,42,28,29,46,39,24,-17.2,-53.8,600
Agoura Hills^Area policed by LASD^,173,168,160,186,156,220,150,187,186,223,167,225,163,-26.9,-5.8,803
Calabasas^Area policed by LASD^,221,205,165,222,156,206,180,248,269,226,184,253,238,5.3,7.7,1025.9
Hidden Hills^Area policed by LASD^,8,11,4,1,8,6,8,7,9,7,6,3,3,-57.1,-62.5,176.5
Malibu^Area policed by LASD^,262,182,232,247,211,256,285,255,277,311,271,293,317,1.9,21,2990.6
Westlake Village^Area policed by LASD^,92,125,106,104,117,143,162,155,156,140,99,85,93,-33.6,1.1,1162.5
Unincorporated Malibu/Lost Hills^Area policed by LASD^,133,136,131,134,131,152,179,167,149,168,214,190,192,14.3,44.4,849.6
Unincorporated Marina Del Rey^Area policed by LASD^,133,494,507,575,595,533,603,592,644,569,567,677,564,-0.9,324.1,1867.5
La Mirada^Area policed by LASD^,505,538,506,522,435,576,611,625,580,463,446,471,578,24.8,14.5,1204.2
Norwalk^Area policed by LASD^,1042,1157,1541,1267,1159,1091,1132,1123,1116,922,1132,838,1011,9.7,-3,983.5
Unincorporated Norwalk^Area policed by LASD^,417,477,436,396,388,416,466,539,539,394,460,485,493,25.1,18.2,738
Palmdale^Area policed by LASD^,1893,1914,2083,1938,2017,1736,1673,1611,1426,1384,1164,1304,1441,4.1,-23.9,851.2
Unincorporated Palmdale^Area policed by LASD^,268,291,365,244,240,245,227,227,236,251,198,222,212,-15.5,-20.9,481.8
Pico Rivera^Area policed by LASD^,989,1003,1063,926,763,807,839,853,614,581,657,664,689,18.6,-30.3,1109.5
Unincorporated Pico Rivera^Area policed by LASD^,307,269,327,261,257,322,334,317,199,242,228,264,254,5,-17.3,827.4
San Dimas^Area policed by LASD^,435,391,472,463,446,501,493,500,534,659,568,524,549,-16.7,26.2,1573.1
Unincorporated San Dimas^Area policed by LASD^,264,249,266,280,258,276,318,259,349,370,466,358,390,5.4,47.7,817.6
Santa Clarita^Area policed by LASD^,1855,1774,1833,1777,1589,1983,1951,1997,1560,1448,1366,1486,1687,16.5,-9.1,799.1
Unincorporated Santa Clarita Valley^Area policed by LASD^,650,622,617,567,612,709,565,624,582,505,405,445,521,3.2,-19.8,674
Lawndale^Area policed by LASD^,223,196,166,172,192,284,276,214,185,228,244,334,257,12.7,15.2,810.7
Unincorporated South Los Angeles^Area policed by LASD^,504,486,536,609,570,590,766,607,611,631,644,545,588,-6.8,16.7,691.8
Bradbury^Area policed by LASD^,5,5,4,9,5,3,2,4,4,6,3,4,2,-66.7,-60,NA
Duarte^Area policed by LASD^,249,266,319,216,239,233,223,225,287,215,247,217,233,8.4,-6.4,1073.7
Rosemead^Area policed by LASD^,696,678,512,619,774,659,715,719,702,552,531,640,779,41.1,11.9,1524.5
South El Monte^Area policed by LASD^,248,184,185,210,355,327,273,314,313,254,278,358,377,48.4,52,1913.7
Temple City^Area policed by LASD^,255,207,201,265,252,280,279,257,216,175,216,178,285,62.9,11.8,778.7
Unincorporated Temple^Area policed by LASD^,422,297,304,391,432,459,455,487,368,370,455,401,415,12.2,-1.7,726.8
Diamond Bar^Area policed by LASD^,480,474,526,477,401,430,497,592,521,574,472,593,614,7,27.9,1114.3
Walnut^Area policed by LASD^,248,211,210,397,139,158,201,221,228,207,193,297,881,325.6,255.2,3102.1
Unincorporated Walnut/Diamond Bar^Area policed by LASD^,414,389,435,207,385,377,497,588,539,664,532,728,240,-63.9,-42,455.4
West Hollywood^Area policed by LASD^,1128,1052,1209,1046,1036,1105,1220,1367,1762,1566,822,967,1757,12.2,55.8,4894.2
Unincorporated West Hollywood^Area policed by LASD^,68,76,79,131,158,169,221,239,182,140,25,54,144,2.9,111.8,12000
Alhambra,1460,1362,1339,1196,1203,1413,1447,1244,1346,1303,1077,1181,1453,11.5,-0.5,1752.7
Arcadia,1267,1206,975,1080,839,892,1045,957,969,973,696,1002,1147,17.9,-9.5,2030.1
Azusa,731,641,737,671,665,784,695,729,716,646,610,602,630,-2.5,-13.8,1267.6
Baldwin Park,940,883,861,727,709,868,818,788,843,606,425,408,613,1.2,-34.8,851.4
Bell,285,394,394,334,418,443,414,348,266,224,238,217,212,-5.4,-25.6,632.8
Bell Gardens,391,310,308,351,333,392,510,342,306,334,279,248,179,-46.4,-54.2,452
Beverly Hills,677,675,790,899,774,930,1037,1318,1282,1197,892,892,982,-18,45.1,2993.9
Burbank,1933,1926,1911,1926,1948,2136,2269,2344,2135,2107,1880,1987,2246,6.6,16.2,2093.2
Claremont,595,601,611,546,607,674,607,593,646,552,410,512,620,12.3,4.2,1662.2
Covina,1072,1195,1070,818,731,753,816,712,653,779,710,690,669,-14.1,-37.6,1306.6
Culver City,1337,1363,1465,1327,1335,1598,1599,1570,1417,1380,1102,1138,1603,16.2,19.9,3928.9
Downey,2372,2054,1908,1873,1626,1586,2078,1866,1570,1566,1215,1462,1616,3.2,-31.9,1412.6
El Monte,1194,1136,1081,1038,1168,991,1138,1431,1256,1046,980,974,990,-5.4,-17.1,905.8
El Segundo,360,338,389,343,305,426,472,423,448,387,446,427,460,18.9,27.8,2459.9
Gardena,835,789,716,726,785,841,772,678,702,658,686,915,1014,54.1,21.4,1662.3
Glendale,2747,2506,2218,2384,2294,2630,2491,2303,2390,2562,2357,2435,2545,-0.7,-7.4,1295.2
Glendora,946,1068,1018,1096,984,1093,1036,1180,1179,1241,927,823,869,-30,-8.1,1664.8
Hawthorne,1112,1136,1138,1333,1591,1468,1517,1350,1064,930,837,988,901,-3.1,-19,1040.4
Hermosa Beach,423,450,494,395,407,423,424,426,316,326,298,361,363,11.3,-14.2,1842.6
Huntington Park,1217,1128,1018,1003,1031,1055,1102,903,954,861,751,718,866,0.6,-28.8,1577.4
Inglewood,1342,1459,1389,1441,1461,1406,1229,1466,1636,1356,1269,1387,1569,15.7,16.9,1455.5
Irwindale,77,121,152,145,103,109,127,121,115,139,104,133,143,2.9,85.7,8411.8
La Verne,477,481,637,548,606,693,409,563,538,447,485,513,490,9.6,2.7,1570.5
Long Beach,6524,7329,7702,6868,6875,8413,8377,7104,7315,6754,7373,7153,5877,-13,-9.9,1260.3
Manhattan Beach,627,654,631,623,609,697,786,625,684,648,573,607,750,15.7,19.6,2112.7
Monrovia,797,675,714,592,557,504,624,645,723,686,696,578,668,-2.6,-16.2,1757.9
Montebello,724,766,622,549,568,597,607,519,548,580,424,640,951,64,31.4,1516.7
Monterey Park,415,635,551,637,608,728,998,955,1017,929,781,841,737,-20.7,77.6,1206.2
Palos Verdes Estates,69,71,80,89,64,78,76,77,69,49,58,69,79,61.2,14.5,594
Pasadena,2864,2412,2238,2553,2413,2540,2261,1842,1959,2036,2015,2042,2172,6.7,-24.2,1564.8
Pomona,2406,2579,3044,2591,2686,2559,2640,2516,2764,2529,3015,3259,2640,4.4,9.7,1740.3
Redondo Beach,1238,1208,1223,1146,1054,1244,1154,1042,1071,992,915,1068,1108,11.7,-10.5,1547.5
San Fernando,213,270,220,258,248,263,240,184,162,112,117,178,260,132.1,22.1,1087.9
San Gabriel,342,338,346,493,343,419,374,407,453,468,355,488,NA,NA,NA,NA
San Marino,153,129,111,140,136,132,148,126,118,126,166,139,62,-50.8,-59.5,496
Santa Monica,2541,2300,2634,2806,2314,2953,3180,3462,3835,3143,2530,2493,2823,-10.2,11.1,3035.5
Sierra Madre,126,95,76,65,62,59,59,61,59,46,62,84,57,23.9,-54.8,504.4
Signal Hill,275,312,362,379,373,592,640,521,471,491,502,451,401,-18.3,45.8,3398.3
South Gate,1295,1294,1217,1379,1441,1653,1929,1691,1376,1663,1762,1592,1710,2.8,32,1846.7
South Pasadena,262,281,277,347,328,536,447,315,360,434,430,349,334,-23,27.5,1241.6
Torrance,2008,1957,1823,1833,1784,2024,2326,2213,1951,2161,2060,2321,2519,16.6,25.4,1713.6
Vernon,191,183,199,187,192,171,207,229,195,272,466,352,450,65.4,135.6,NA
West Covina,1854,2212,2135,2254,1953,2095,1794,1821,1735,1660,1505,1449,1666,0.4,-10.1,1524.2
Santa Fe Springs,842,833,855,830,860,877,836,688,651,654,635,861,849,29.8,0.8,4399
Whittier,1734,1779,1758,1675,1601,1797,1933,1774,1527,1278,1065,1201,1059,-17.1,-38.9,1213.1
