rate_prior4years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
399.5,576,516,510,484,508,577,662,750,692,549,783,868,1018,85.4,76.7,505.5
485.6,585,504,405,462,421,426,584,546,524,494,666,878,938,89.9,60.3,612.3
129.7,74,49,54,55,41,48,53,69,75,54,65,58,52,-3.7,-29.7,117.9
152.9,16,9,12,18,9,5,1,10,5,5,8,3,5,0,-68.8,147.1
NA,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,-100,NA
663.9,464,560,550,489,389,395,522,510,445,399,529,766,842,111,81.5,881.7
903.8,202,155,193,161,159,186,204,221,154,167,161,301,318,90.4,57.4,1213.7
1074.9,494,463,522,555,593,643,767,700,554,507,669,963,759,49.7,53.6,1126.1
850.6,775,966,832,770,779,881,941,1017,848,746,992,1089,1181,58.3,52.4,1002.5
418.3,228,166,176,219,182,221,221,196,163,122,146,277,285,133.6,25,574.6
958.4,715,863,822,800,714,769,790,770,848,727,838,1092,1012,39.2,41.5,1057.5
1097.8,205,206,267,229,188,182,207,207,198,177,220,326,274,54.8,33.7,1207
58.3,13,12,16,11,8,12,16,20,13,11,20,11,6,-45.5,-53.8,29.1
82.6,24,16,29,17,16,17,27,21,15,9,15,28,20,122.2,-16.7,91.7
3299.2,332,325,265,278,258,350,360,345,241,252,358,570,496,96.8,49.4,3905.5
457.3,50,127,79,83,73,82,78,80,73,64,109,137,105,64.1,110,462.6
546.6,64,133,81,136,100,144,167,139,123,93,197,146,113,21.5,76.6,450.2
647.6,718,481,670,661,599,838,802,750,617,589,847,845,786,33.4,9.5,663.9
NA,213,235,214,228,209,180,219,148,137,125,134,161,195,56,-8.5,NA
66.7,7,4,2,2,0,3,8,6,1,2,8,3,2,0,-71.4,35.1
342.1,141,165,158,125,131,128,164,162,147,126,122,159,113,-10.3,-19.9,297.4
262.3,405,369,342,306,314,323,377,383,339,308,353,414,336,9.1,-17,249.8
391.5,44,45,28,55,48,111,75,71,48,33,51,91,82,148.5,86.4,500
670.7,458,444,499,489,383,558,491,505,394,320,520,650,635,98.4,38.6,801.8
453.9,53,55,52,52,58,61,82,85,51,56,40,71,89,58.9,67.9,631.2
386.7,319,264,312,291,226,305,308,259,226,189,267,392,428,126.5,34.2,518.8
803.7,468,471,454,504,388,490,393,438,343,284,392,552,492,73.2,5.1,919.6
210,1,3,5,1,0,6,2,2,5,2,6,6,3,50,200,150
519.7,440,389,422,428,477,513,618,650,730,638,759,1077,1064,66.8,141.8,625.1
388.1,5,65,79,71,75,75,81,92,105,88,116,159,199,126.1,3880,549.7
264.1,36,37,47,70,50,46,51,71,47,40,49,51,81,102.5,125,387.6
69,18,26,25,36,30,39,33,35,29,12,26,43,36,200,100,85.1
0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,NA,0
75.6,6,4,3,7,5,5,6,8,8,9,6,8,2,-77.8,-66.7,24.4
250,11,18,11,10,9,18,10,12,7,7,10,11,12,71.4,9.1,300
128.1,8,13,16,12,11,11,19,20,24,17,34,30,23,35.3,187.5,113.3
121.6,18,10,11,7,16,15,23,19,13,24,35,23,31,29.2,72.2,133.6
47.1,0,0,0,0,2,1,0,1,2,1,1,0,1,0,NA,58.8
268.9,17,10,19,24,18,21,31,33,29,19,17,53,25,31.6,47.1,235.8
106.3,3,2,12,6,8,8,6,5,8,5,11,8,10,100,233.3,125
115,14,11,10,12,23,15,24,28,17,19,30,33,22,15.8,57.1,97.3
491.7,14,74,60,89,88,92,94,107,69,70,145,195,184,162.9,1214.3,609.3
281.7,111,142,104,114,75,123,121,138,121,93,147,173,128,37.6,15.3,266.7
444.7,594,643,534,565,487,428,466,415,394,306,416,549,558,82.4,-6.1,542.8
330.1,187,185,191,177,172,257,223,261,248,239,233,195,215,-10,15,321.9
310,485,413,359,431,395,495,443,435,503,399,543,525,632,58.4,30.3,373.3
340.9,113,84,93,57,88,95,94,122,153,135,131,157,177,31.1,56.6,402.3
602.3,329,347,368,336,317,385,457,329,314,273,329,445,449,64.5,36.5,723
472.3,121,106,122,100,106,139,141,128,116,115,145,149,171,48.7,41.3,557
232.1,63,39,56,67,54,63,86,77,65,61,90,89,84,37.7,33.3,240.7
268.3,100,80,99,92,88,124,105,123,117,118,151,130,113,-4.2,13,236.9
143.3,243,237,309,251,247,301,417,410,295,219,288,342,361,64.8,48.6,171
108.9,123,77,99,71,58,77,87,85,63,68,77,91,101,48.5,-17.9,130.7
490.5,138,94,98,96,88,104,159,144,102,100,181,165,176,76,27.5,555.2
598.6,394,337,376,316,357,386,462,373,357,391,467,594,583,49.1,48,685.9
NA,0,1,0,2,0,1,0,0,0,2,1,0,0,-100,NA,NA
282,76,54,69,55,46,66,73,55,67,42,57,75,71,69,-6.6,327.2
440.3,202,197,218,165,169,321,227,278,284,194,206,223,277,42.8,37.1,542.1
811.2,137,118,112,119,132,163,155,201,163,114,123,206,196,71.9,43.1,994.9
103.3,36,27,37,33,33,40,38,37,44,34,38,32,47,38.2,30.6,128.4
203.5,126,106,134,116,102,142,140,131,113,70,129,147,119,70,-5.6,208.4
151,78,51,73,66,59,97,72,70,55,52,85,97,99,90.4,26.9,179.7
200,40,36,32,97,18,22,31,32,38,27,25,30,145,437,262.5,510.6
218.6,112,96,77,36,73,72,92,88,82,89,153,176,43,-51.7,-61.6,81.6
386.6,133,122,118,100,86,93,146,104,98,117,102,158,178,52.1,33.8,495.8
83.3,5,1,5,2,2,1,2,1,2,1,0,1,2,100,-60,166.7
321.5,270,217,255,234,224,211,238,270,256,187,239,300,340,81.8,25.9,410.1
158.9,106,85,74,62,44,64,77,92,79,74,73,96,116,56.8,9.4,205.3
360.6,129,130,161,171,130,196,183,223,185,139,208,189,181,30.2,40.3,364.2
389.6,506,403,389,363,316,331,340,327,303,308,276,254,284,-7.8,-43.9,394.4
342.7,140,172,91,77,144,135,156,151,109,90,117,146,106,17.8,-24.3,316.4
586.4,399,348,309,271,270,299,329,320,242,218,265,271,175,-19.7,-56.1,441.9
261.6,45,30,33,41,46,72,73,99,70,45,89,99,110,144.4,144.4,335.4
265.6,276,234,199,219,182,223,266,245,214,211,301,333,295,39.8,6.9,274.9
176.9,51,42,63,68,41,62,63,68,57,31,72,77,84,171,64.7,225.2
316.4,194,152,188,157,134,138,164,185,173,171,165,150,162,-5.3,-16.5,316.4
480.4,124,107,102,115,109,107,157,108,93,95,166,257,266,180,114.5,652
724.5,928,1053,959,846,792,792,766,765,606,563,694,1061,997,77.1,7.4,871.5
432.9,797,606,578,576,583,680,688,698,504,394,455,520,524,33,-34.3,479.4
699.5,40,51,50,52,72,48,73,81,64,74,157,148,144,94.6,260,770.1
829.5,340,269,308,307,269,359,355,362,315,308,470,627,619,101,82.1,1014.8
203.8,328,323,309,251,268,353,363,317,266,263,433,493,413,57,25.9,210.2
183.9,75,56,73,71,81,60,72,105,122,73,102,119,90,23.3,20,172.4
597,435,390,468,386,460,535,574,515,347,356,513,612,587,64.9,34.9,677.8
242.6,23,25,46,35,32,41,30,48,31,26,54,45,66,153.8,187,335
1206.7,644,763,658,589,594,796,678,704,590,520,648,731,751,44.4,16.6,1367.9
902.4,703,555,638,640,697,683,790,802,658,657,889,1243,1102,67.7,56.8,1022.3
2264.7,22,27,41,44,30,19,38,35,35,28,26,46,54,92.9,145.5,3176.5
161.9,36,31,44,47,45,48,31,66,75,47,63,40,52,10.6,44.4,166.7
596.2,2189,2212,2630,2355,2081,2830,2859,2729,2279,2358,2780,3404,2579,9.4,17.8,553.1
251.3,50,33,41,36,51,44,53,71,47,43,91,116,107,148.8,114,301.4
255.8,125,79,114,86,70,95,76,83,70,72,123,89,105,45.8,-16,276.3
748.3,480,400,435,496,380,503,548,460,476,388,457,425,607,56.4,26.5,968.1
385.9,226,191,222,209,164,243,246,219,216,159,237,256,291,83,28.8,476.3
73.7,3,7,8,4,5,9,7,5,2,3,6,19,11,266.7,266.7,82.7
236.7,378,281,250,287,230,323,324,359,306,260,352,368,334,28.5,-11.6,240.6
690.8,1231,973,1110,956,1040,1256,1183,1250,1030,863,1085,1265,979,13.4,-20.5,645.4
238.8,103,80,107,133,121,165,160,170,132,118,196,197,173,46.6,68,241.6
390,87,61,90,72,62,120,120,91,99,79,88,110,96,21.5,10.3,401.7
NA,60,48,61,56,42,86,57,60,66,45,56,101,NA,NA,NA,NA
78.4,2,2,4,1,6,12,7,2,1,5,9,7,18,260,800,144
435.7,166,188,178,165,177,221,236,264,235,244,391,417,569,133.2,242.8,611.8
60.2,2,4,6,6,5,10,8,4,2,4,9,7,7,75,250,61.9
1193.2,67,60,87,80,64,90,113,135,112,77,133,146,207,168.8,209,1754.2
947.6,824,1181,918,913,827,1051,999,933,645,740,870,999,901,21.8,9.3,973
247.2,54,58,48,51,32,31,58,59,59,38,92,64,72,89.5,33.3,267.7
361.2,335,301,338,362,257,317,437,436,283,293,497,610,724,147.1,116.1,492.5
NA,82,95,86,106,84,89,125,135,106,80,208,192,174,117.5,112.2,NA
354.5,594,511,543,501,425,487,498,410,393,355,361,426,408,14.9,-31.3,373.3
1340.9,178,160,210,241,132,216,180,177,164,176,209,310,340,93.2,91,1761.7
407.6,286,254,295,253,306,415,390,313,331,305,312,397,409,34.1,43,468.5
