place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inc_19to22,inc_10to22,rate22
Villa Park,0,0,0,0,2,0,1,0,0,0,0,0,0,NA,NA,0
La Habra,18,3,7,8,7,7,8,9,5,20,8,21,19,-5,5.6,30.1
Brea,3,1,2,4,5,2,6,8,7,10,10,9,7,-30,133.3,14.8
Huntington Beach,32,34,31,31,45,52,55,75,83,61,70,82,68,11.5,112.5,34.2
San Clemente,1,5,6,3,12,19,10,9,9,3,3,6,12,300,1100,18.7
Colton,14,8,10,6,8,11,10,6,11,9,10,13,10,11.1,-28.6,18.6
Santa Paula,3,7,4,6,3,11,9,7,3,6,8,6,5,-16.7,66.7,16.3
Temecula,3,7,10,11,7,8,4,5,4,8,12,16,12,50,300,10.9
Laguna Niguel,0,3,6,4,11,6,9,7,2,9,5,3,3,-66.7,NA,4.7
Yucaipa,10,7,5,7,3,8,11,12,12,14,17,14,13,-7.1,30,23.9
Adelanto,9,18,18,15,18,14,28,28,25,20,12,11,11,-45,22.2,28.9
Montclair,6,7,13,11,23,20,32,25,37,35,34,18,9,-74.3,50,23.7
Needles,0,0,6,1,0,2,3,4,6,4,4,2,10,150,NA,204.1
Murrieta,10,13,8,10,6,6,8,14,16,19,22,26,28,47.4,180,25.2
Mission Viejo,5,3,3,4,9,14,7,13,5,8,5,9,9,12.5,80,9.6
Santa Ana,88,62,55,51,115,154,142,188,230,207,145,229,97,-53.1,10.2,31.3
Apple Valley,22,16,7,12,18,15,26,19,17,19,20,23,26,36.8,18.2,34.3
Ontario,48,27,36,31,20,31,32,136,106,85,83,81,104,22.4,116.7,59.3
Tustin,9,7,11,6,16,10,13,11,15,16,13,15,19,18.8,111.1,23.7
Aliso Viejo,4,2,0,2,5,5,4,4,11,3,1,1,0,-100,-100,0
Lake Forest,8,1,8,12,19,15,17,19,14,7,9,9,11,57.1,37.5,12.8
Seal Beach,4,1,1,1,1,1,1,2,9,1,6,0,6,500,50,23.8
Yucca Valley,11,6,5,7,6,8,2,9,8,9,9,6,6,-33.3,-45.5,27.6
Simi Valley,14,9,7,9,27,24,28,32,46,15,29,29,22,46.7,57.1,17.4
Big Bear,1,2,3,5,3,5,5,8,4,7,6,7,7,0,600,55.1
Lake Elsinore,15,3,3,2,6,8,10,12,2,3,8,6,9,200,-40,12.8
Indio,32,24,22,34,25,28,26,39,47,45,37,42,28,-37.8,-12.5,31.4
Upland,9,14,8,9,10,21,18,25,13,20,16,12,21,5,133.3,26.6
Riverside Co. Sheriff's Department,50,47,22,30,56,38,56,48,45,37,32,40,50,35.1,0,12.8
Orange Co. Sheriff's Department,8,11,9,9,27,12,20,16,36,11,24,6,4,-63.6,-50,3
San Bernardino Co. Sheriff's Department,61,57,61,59,65,91,88,76,139,115,104,114,108,-6.1,77,36.9
Ventura Co. Sheriff's Department,18,10,14,13,25,32,29,30,19,18,20,16,12,-33.3,-33.3,12.8
LAPD 77th Street^Division of Los Angeles PD^,122,117,129,127,152,148,180,160,133,136,122,131,105,-22.8,-13.9,56.1
LAPD Central^Division of Los Angeles PD^,58,46,74,66,99,132,135,160,148,161,127,147,127,-21.1,119,155.8
LAPD Devonshire^Division of Los Angeles PD^,60,56,40,50,72,77,88,82,84,57,48,47,39,-31.6,-35,17
LAPD Foothill^Division of Los Angeles PD^,79,57,61,69,85,82,81,65,79,65,49,49,46,-29.2,-41.8,23.5
LAPD Harbor^Division of Los Angeles PD^,47,58,74,48,77,61,95,91,86,61,63,71,64,4.9,36.2,35.4
LAPD Hollenbeck^Division of Los Angeles PD^,60,54,61,56,71,74,94,87,91,80,48,48,54,-32.5,-10,31.8
LAPD Hollywood^Division of Los Angeles PD^,109,107,121,94,133,152,156,183,148,130,102,120,114,-12.3,4.6,87.4
LAPD Mission^Division of Los Angeles PD^,64,73,82,70,93,109,107,104,102,62,70,70,77,24.2,20.3,30.9
LAPD Newton^Division of Los Angeles PD^,64,62,60,62,77,80,103,69,83,83,82,78,77,-7.2,20.3,51.5
LAPD North Hollywood^Division of Los Angeles PD^,69,77,70,68,75,97,96,93,99,90,62,68,66,-26.7,-4.3,31.3
LAPD Northeast^Division of Los Angeles PD^,58,43,62,71,83,79,90,80,76,63,49,49,40,-36.5,-31,18.4
LAPD Olympic^Division of Los Angeles PD^,60,57,68,78,89,114,96,96,117,95,100,81,92,-3.2,53.3,50.1
LAPD Pacific^Division of Los Angeles PD^,69,55,56,71,76,104,98,109,99,88,87,68,83,-5.7,20.3,38.2
LAPD Rampart^Division of Los Angeles PD^,97,98,95,81,81,109,135,116,102,115,75,82,101,-12.2,4.1,63.3
LAPD Southeast^Division of Los Angeles PD^,81,94,86,82,117,137,109,132,133,110,93,84,71,-35.5,-12.3,47.1
LAPD Southwest^Division of Los Angeles PD^,119,89,106,83,137,153,170,140,147,132,107,117,67,-49.2,-43.7,34.7
LAPD Topanga^Division of Los Angeles PD^,56,53,68,62,60,83,99,78,94,69,54,63,53,-23.2,-5.4,25.6
LAPD Van Nuys^Division of Los Angeles PD^,92,60,47,66,62,88,84,98,62,30,33,35,37,23.3,-59.8,19.7
LAPD West Los Angeles^Division of Los Angeles PD^,48,39,51,43,64,85,88,99,65,65,52,58,46,-29.2,-4.2,19
LAPD West Valley^Division of Los Angeles PD^,54,47,50,59,53,67,73,81,88,70,75,56,50,-28.6,-7.4,24.8
LAPD Wilshire^Division of Los Angeles PD^,55,32,59,47,69,79,86,84,89,66,55,60,71,7.6,29.1,46.3
Unincorporated Altadena^Area policed by LASD^,5,6,8,11,6,12,10,16,5,11,6,4,10,-9.1,100,22.7
Avalon^Area policed by LASD^,0,0,0,0,4,2,2,4,1,2,2,3,1,-50,NA,29.4
Unincorporated Avalon^Area policed by LASD^,1,1,0,0,0,0,0,0,0,0,0,2,0,NA,-100,NA
Carson^Area policed by LASD^,12,13,15,15,9,17,26,20,14,31,21,18,15,-51.6,25,15.7
Unincorporated Carson^Area policed by LASD^,5,1,1,2,5,6,4,4,10,8,6,3,2,-75,-60,7.6
Lynwood^Area policed by LASD^,15,11,24,14,11,20,31,16,22,21,17,20,21,0,40,31.2
Unincorporated Century^Area policed by LASD^,36,33,32,28,41,54,43,44,43,44,33,47,42,-4.5,16.7,35.7
Cerritos^Area policed by LASD^,3,4,8,4,2,7,5,4,13,10,14,10,9,-10,200,18.1
Compton^Area policed by LASD^,25,45,33,26,27,34,38,33,38,40,48,37,34,-15,36,35.5
Unincorporated Compton^Area policed by LASD^,10,12,3,7,4,7,9,5,6,7,13,7,10,42.9,0,44.1
La Canada Flintridge^Area policed by LASD^,2,2,1,0,0,7,0,1,2,2,3,1,2,0,0,9.7
Unincorporated Crescenta Valley^Area policed by LASD^,4,1,3,2,1,4,8,2,4,3,3,3,4,33.3,0,18.3
Commerce^Area policed by LASD^,4,5,2,2,3,10,6,6,9,5,4,12,8,60,100,63
Cudahy^Area policed by LASD^,3,7,1,4,6,6,9,3,5,2,3,6,10,400,233.3,44.1
Maywood^Area policed by LASD^,2,0,6,4,2,6,9,8,10,7,5,7,5,-28.6,150,19.9
Unincorporated East Los Angeles^Area policed by LASD^,39,20,26,23,27,37,38,49,30,26,21,32,29,11.5,-25.6,24.5
Industry^Area policed by LASD^,0,2,1,4,3,1,8,5,3,1,3,1,3,200,NA,NA
La Habra Heights^Area policed by LASD^,1,1,0,1,0,1,0,1,1,0,1,1,2,NA,100,35.1
La Puente^Area policed by LASD^,4,6,6,12,1,7,9,14,16,6,12,8,5,-16.7,25,13.2
Unincorporated Industry^Area policed by LASD^,17,18,13,16,17,27,30,30,28,24,30,25,20,-16.7,17.6,14.9
Artesia^Area policed by LASD^,3,1,1,0,1,2,1,2,3,2,4,0,4,100,33.3,24.4
Bellflower^Area policed by LASD^,24,14,11,9,9,21,31,16,25,29,26,29,31,6.9,29.2,39.1
Hawaiian Gardens^Area policed by LASD^,5,1,2,2,1,2,2,1,4,5,6,3,3,-40,-40,21.3
Lakewood^Area policed by LASD^,15,9,13,11,8,16,7,13,23,20,16,14,19,-5,26.7,23
Paramount^Area policed by LASD^,13,7,7,8,14,10,18,8,19,16,17,19,20,25,53.8,37.4
Unincorporated Lakewood^Area policed by LASD^,0,2,1,3,0,0,0,0,0,1,1,0,0,-100,NA,0
Lancaster^Area policed by LASD^,61,43,56,44,54,87,79,80,94,114,84,70,83,-27.2,36.1,48.8
Unincorporated Lancaster^Area policed by LASD^,0,7,11,10,9,12,16,11,15,22,7,13,10,-54.5,NA,27.6
Lomita^Area policed by LASD^,4,5,1,2,2,5,4,3,6,4,1,4,6,50,50,28.7
Rancho Palos Verdes^Area policed by LASD^,8,1,1,1,5,4,7,5,6,3,4,6,4,33.3,-50,9.5
Rolling Hills^Area policed by LASD^,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
Rolling Hills Estates^Area policed by LASD^,0,0,0,0,0,0,0,2,3,0,2,2,1,NA,NA,12.2
Unincorporated Lomita^Area policed by LASD^,0,0,0,0,0,2,1,2,0,1,0,0,2,100,NA,50
Agoura Hills^Area policed by LASD^,2,1,2,1,4,2,2,2,5,6,0,2,5,-16.7,150,24.6
Calabasas^Area policed by LASD^,1,0,5,3,2,5,1,14,8,6,6,11,4,-33.3,300,17.2
Hidden Hills^Area policed by LASD^,0,0,0,0,0,0,1,0,0,1,0,1,0,-100,NA,0
Malibu^Area policed by LASD^,1,2,4,3,6,8,6,8,9,5,9,8,0,-100,-100,0
Westlake Village^Area policed by LASD^,0,0,1,1,5,2,4,1,0,5,1,3,0,-100,NA,0
Unincorporated Malibu/Lost Hills^Area policed by LASD^,1,3,1,2,3,9,7,7,9,9,5,5,7,-22.2,600,31
Unincorporated Marina Del Rey^Area policed by LASD^,1,5,3,2,8,9,11,17,7,7,13,9,10,42.9,900,33.1
La Mirada^Area policed by LASD^,3,3,5,10,4,10,9,7,6,6,6,12,7,16.7,133.3,14.6
Norwalk^Area policed by LASD^,14,10,14,16,13,33,20,17,23,21,22,22,19,-9.5,35.7,18.5
Unincorporated Norwalk^Area policed by LASD^,10,6,10,11,9,12,9,12,15,19,13,19,15,-21.1,50,22.5
Palmdale^Area policed by LASD^,41,39,39,28,40,49,47,37,43,55,51,63,38,-30.9,-7.3,22.4
Unincorporated Palmdale^Area policed by LASD^,7,3,5,6,11,11,13,8,13,14,16,15,12,-14.3,71.4,27.3
Pico Rivera^Area policed by LASD^,15,11,9,8,9,16,13,19,9,16,17,11,22,37.5,46.7,35.4
Unincorporated Pico Rivera^Area policed by LASD^,5,8,1,2,6,9,12,9,6,9,7,6,13,44.4,160,42.3
San Dimas^Area policed by LASD^,4,4,2,6,2,8,16,5,11,15,8,14,16,6.7,300,45.8
Unincorporated San Dimas^Area policed by LASD^,4,8,6,7,10,14,13,20,15,21,17,17,14,-33.3,250,29.4
Santa Clarita^Area policed by LASD^,21,18,31,19,17,38,45,40,43,49,42,45,40,-18.4,90.5,18.9
Unincorporated Santa Clarita Valley^Area policed by LASD^,10,6,11,6,5,15,10,17,21,12,11,13,7,-41.7,-30,9.1
Lawndale^Area policed by LASD^,10,7,4,9,6,9,9,3,10,6,6,7,10,66.7,0,31.5
Unincorporated South Los Angeles^Area policed by LASD^,25,22,27,22,31,47,40,29,26,32,32,12,37,15.6,48,43.5
Bradbury^Area policed by LASD^,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Duarte^Area policed by LASD^,4,5,5,2,3,3,0,2,5,2,4,6,5,150,25,23
Rosemead^Area policed by LASD^,10,13,4,6,7,9,10,12,12,11,10,14,21,90.9,110,41.1
South El Monte^Area policed by LASD^,4,6,3,4,4,6,6,4,7,11,9,6,5,-54.5,25,25.4
Temple City^Area policed by LASD^,8,2,2,6,2,10,5,3,7,7,3,5,2,-71.4,-75,5.5
Unincorporated Temple^Area policed by LASD^,12,4,4,9,9,11,7,15,9,11,13,14,13,18.2,8.3,22.8
Diamond Bar^Area policed by LASD^,4,6,1,3,6,4,4,5,7,4,7,5,13,225,225,23.6
Walnut^Area policed by LASD^,3,3,2,3,2,1,2,12,4,4,1,5,17,325,466.7,59.9
Unincorporated Walnut/Diamond Bar^Area policed by LASD^,4,3,3,1,5,8,11,8,18,11,14,14,3,-72.7,-25,5.7
West Hollywood^Area policed by LASD^,12,19,12,14,7,21,27,29,40,24,28,24,20,-16.7,66.7,55.7
Unincorporated West Hollywood^Area policed by LASD^,2,1,0,0,0,2,1,2,0,0,0,0,4,NA,100,333.3
Alhambra,8,7,2,9,19,13,9,17,14,11,11,12,12,9.1,50,14.5
Arcadia,5,5,1,1,7,6,4,7,8,10,6,11,17,70,240,30.1
Azusa,11,14,6,4,12,13,18,16,25,17,7,10,11,-35.3,0,22.1
Baldwin Park,8,9,5,6,7,34,31,26,35,24,8,19,14,-41.7,75,19.4
Bell,12,14,9,10,19,17,11,17,10,11,12,15,14,27.3,16.7,41.8
Bell Gardens,5,5,2,3,7,6,7,5,6,4,8,3,7,75,40,17.7
Beverly Hills,4,2,7,5,7,9,14,10,14,6,6,14,8,33.3,100,24.4
Burbank,13,17,24,13,14,10,24,20,18,11,12,9,21,90.9,61.5,19.6
Claremont,5,1,5,2,4,12,3,9,15,6,10,17,6,0,20,16.1
Covina,7,10,13,9,5,8,23,22,28,25,18,16,9,-64,28.6,17.6
Culver City,4,6,6,7,6,4,3,1,6,2,5,13,17,750,325,41.7
Downey,17,23,20,12,15,23,22,23,14,30,23,39,33,10,94.1,28.8
El Monte,27,33,14,14,20,21,31,43,35,34,40,34,31,-8.8,14.8,28.4
El Segundo,5,4,1,0,4,1,4,4,11,5,11,4,8,60,60,42.8
Gardena,9,11,13,16,10,24,24,16,16,20,18,14,14,-30,55.6,23
Glendale,17,14,6,8,9,17,38,32,24,16,14,15,18,12.5,5.9,9.2
Glendora,9,7,8,7,11,6,4,15,23,21,15,8,16,-23.8,77.8,30.7
Hawthorne,33,25,26,32,25,35,40,25,37,34,25,45,49,44.1,48.5,56.6
Hermosa Beach,6,7,9,4,7,7,10,4,3,7,5,7,7,0,16.7,35.5
Huntington Park,4,10,9,6,17,35,28,42,38,31,25,31,20,-35.5,400,36.4
Inglewood,32,33,27,29,32,44,56,46,51,51,43,34,54,5.9,68.8,50.1
Irwindale,0,2,0,1,0,0,1,0,0,1,2,0,0,-100,NA,0
La Verne,4,1,8,1,14,29,11,11,18,6,8,11,9,50,125,28.8
Long Beach,134,112,115,103,110,177,197,203,219,249,242,256,195,-21.7,45.5,41.8
Manhattan Beach,6,6,7,5,2,8,8,11,8,5,4,7,14,180,133.3,39.4
Monrovia,3,1,2,1,2,4,8,12,10,9,4,5,9,0,200,23.7
Montebello,10,6,4,11,4,6,7,9,10,11,10,19,18,63.6,80,28.7
Monterey Park,0,1,1,8,4,6,8,10,4,7,11,3,8,14.3,NA,13.1
Palos Verdes Estates,0,1,1,1,0,1,0,1,1,0,0,3,0,NA,NA,0
Pasadena,21,26,21,25,23,57,46,51,47,46,51,47,28,-39.1,33.3,20.2
Pomona,37,54,63,31,44,72,68,88,76,101,95,110,81,-19.8,118.9,53.4
Redondo Beach,1,3,6,4,9,19,8,18,14,5,13,17,10,100,900,14
San Fernando,0,3,2,2,4,4,8,9,3,4,1,5,3,-25,NA,12.6
San Gabriel,2,2,3,5,7,4,6,3,9,2,8,4,NA,NA,NA,NA
San Marino,0,2,0,2,0,1,1,0,1,1,1,0,0,-100,NA,0
Santa Monica,12,24,23,27,30,42,40,54,60,40,38,28,43,7.5,258.3,46.2
Sierra Madre,0,1,0,1,2,1,3,1,0,1,0,1,0,-100,NA,0
Signal Hill,3,3,3,2,2,6,9,5,10,1,5,3,1,0,-66.7,8.5
South Gate,13,10,15,15,13,24,29,41,34,21,19,31,25,19,92.3,27
South Pasadena,8,6,6,3,4,3,7,2,2,2,4,2,3,50,-62.5,11.2
Torrance,19,17,17,16,18,34,28,36,35,26,44,32,33,26.9,73.7,22.4
Vernon,1,0,1,0,1,1,1,0,1,1,3,2,1,0,0,NA
West Covina,19,20,11,2,4,13,18,31,25,21,24,27,35,66.7,84.2,32
Santa Fe Springs,1,6,3,3,0,4,8,4,6,10,3,3,9,-10,800,46.6
Whittier,20,7,10,17,15,18,21,15,23,27,20,19,23,-14.8,15,26.3
